Size;ListSetup;BinarySearch;SequentialIndexSearch;SequentialForEachSearch;BuiltinSearch;List Implementation
10000;3.5736983E-4;0.000005;0.000197;0.000236;0.000040;ArrayList;
10000;3.5595081E-4;0.000074;0.018016;0.000170;0.000046;LinkedList;
40000;6.317592600000002E-4;0.000004;0.000447;0.000381;0.000037;ArrayList;
40000;9.375584899999996E-4;0.000261;0.335666;0.000425;0.000063;LinkedList;
90000;0.0013912018600000006;0.000005;0.000951;0.000819;0.000087;ArrayList;
90000;0.0021402161000000004;0.000684;1.449843;0.000856;0.000210;LinkedList;
160000;0.0024981437599999995;0.000006;0.001607;0.001498;0.000213;ArrayList;
160000;0.0038615589300000004;0.001300;FAILED;0.002070;0.000760;LinkedList;
250000;0.004165676039999999;0.000007;0.002688;0.002548;0.000549;ArrayList;
250000;0.006097651480000005;0.002469;FAILED;0.004792;0.001351;LinkedList;
360000;0.005319163839999999;0.000008;0.005072;0.004449;0.001227;ArrayList;
360000;0.008809988540000003;0.004079;FAILED;0.008239;0.002270;LinkedList;
490000;0.008295823459999999;0.000007;0.008502;0.008336;0.001701;ArrayList;
490000;0.013893267870000009;0.006426;FAILED;0.011928;0.003339;LinkedList;
640000;0.013049903380000004;0.000007;0.013040;0.012358;0.002772;ArrayList;
640000;0.01734584186;0.008570;FAILED;0.014469;0.004411;LinkedList;
810000;0.01725226371;0.000007;0.016033;0.017386;0.003097;ArrayList;
810000;0.020831164639999997;0.010750;FAILED;0.017445;0.005984;LinkedList;
1000000;0.02106478228;0.000007;0.022216;0.020634;0.004562;ArrayList;
1000000;0.027797428069999998;0.013072;FAILED;0.027032;0.008044;LinkedList;
1210000;0.024153677019999983;0.000007;0.023378;0.026387;0.005206;ArrayList;
1210000;0.03599718784000001;0.018483;FAILED;0.028860;0.010941;LinkedList;
1440000;0.029497963429999996;0.000007;0.034931;0.030754;0.007631;ArrayList;
1440000;0.04293674904000001;0.023518;FAILED;0.037660;0.013448;LinkedList;
1690000;0.037510807640000005;0.000007;0.040017;0.037968;0.008561;ArrayList;
1690000;0.054572220020000006;0.026514;FAILED;0.042352;0.014540;LinkedList;
1960000;0.044502122249999984;0.000007;0.044053;0.042846;0.009881;ArrayList;
1960000;0.06618029718999999;0.031852;FAILED;0.052584;0.019978;LinkedList;
2250000;0.049341877660000026;0.000007;0.051558;0.054878;0.012420;ArrayList;
2250000;0.08209192542000004;0.036729;FAILED;0.056781;0.023302;LinkedList;
2560000;0.06471877441999999;0.000007;0.059309;0.060121;0.014520;ArrayList;
2560000;0.11027392082999996;0.042570;FAILED;0.065943;0.030116;LinkedList;
2890000;0.07280716928;0.000008;0.076345;0.065769;0.016879;ArrayList;
2890000;0.14723891259;0.051006;FAILED;0.072656;0.042912;LinkedList;
3240000;0.08612566106000002;0.000008;0.086749;0.070586;0.018079;ArrayList;
3240000;0.15890748020000006;0.070373;FAILED;0.092633;0.044777;LinkedList;
3610000;0.09616644174999997;0.000008;0.089961;0.080843;0.022830;ArrayList;
3610000;0.21056398183999994;0.082501;FAILED;0.107797;0.066976;LinkedList;
4000000;0.12053091639000002;0.000008;0.095356;0.091371;0.023990;ArrayList;
4000000;0.23871242102000007;0.088125;FAILED;0.117104;0.061232;LinkedList;
